Entity,Code,Year,Life expectancy - Sex: female - Age: 0 - Variant: estimates,Life expectancy - Sex: male - Age: 0 - Variant: estimates,Population - Sex: all - Age: all - Variant: estimates,World regions according to OWID,time,time
United States,USA,2023,81.849,76.864,343477286,North America,2023,2023
United States Virgin Islands,VIR,2023,81.352,70.513,85666,North America,2023,2023
Uruguay,URY,2023,81.92,74.192,3388029,South America,2023,2023
Uzbekistan,UZB,2023,75.401,69.45,35652264,Asia,2023,2023
Vanuatu,VUT,2023,73.927,69.445,320377,Oceania,2023,2023
Vatican,VAT,2023,85.12,80.778,489,Europe,2023,2023
Venezuela,VEN,2023,76.501,68.72,28300815,South America,2023,2023
Vietnam,VNM,2023,79.264,69.877,100352143,Asia,2023,2023
Wallis and Futuna,WLF,2023,79.616,77.661,11360,Oceania,2023,2023
Western Sahara,ESH,2023,73.546,69.688,579688,Africa,2023,2023
Yemen,YEM,2023,71.388,67.235,39390750,Asia,2023,2023
Zambia,ZMB,2023,68.673,63.936,20723923,Africa,2023,2023
Zimbabwe,ZWE,2023,65.013,60.226,16340778,Africa,2023,2023
