code,wef_rank,wef_score,score,revised_score,rank,revised_rank,diff_score,diff_rank,country
NZL,99,0.966,0.9636987768718475,0.9696386734234461,97.0,16.0,0.005939896551598656,-81.0,New Zealand
NIC,34,0.978,0.9742227809540673,0.9615720720319079,34.0,84.0,-0.01265070892215947,50.0,Nicaragua
NER,113,0.964,0.9618098530622182,0.9698507271586803,108.0,14.0,0.008040874096462036,-94.0,Niger
NGA,97,0.967,0.9639686231303659,0.9700994246275083,96.0,12.0,0.006130801497142402,-84.0,Nigeria
MKD,134,0.96,0.9566037034029566,0.9569655115704505,136.0,111.0,0.0003618081674938711,-25.0,North Macedonia
NOR,123,0.962,0.9598098530622182,0.9689653128617103,122.0,20.0,0.00915545979949206,-102.0,Norway
OMN,130,0.961,0.9591113904770336,0.9633408916452877,129.0,67.0,0.004229501168254046,-62.0,Oman
PAK,132,0.961,0.9588415442185152,0.9687977149652146,131.0,22.0,0.009956170746699411,-109.0,Pakistan
PAN,57,0.973,0.9696353945592535,0.9610578487479324,56.0,87.0,-0.008577545811321086,31.0,Panama
PRY,53,0.975,0.9712544721103642,0.9605006986223966,49.0,91.0,-0.010753773487967577,42.0,Paraguay
PER,117,0.964,0.9612701605451813,0.9681936091453687,117.0,30.0,0.006923448600187343,-87.0,Peru
PHL,86,0.968,0.9636197061244365,0.9424567926764339,99.0,140.0,-0.021162913448002585,41.0,Philippines
POL,1,0.98,0.9753021659881411,0.9534687658860928,1.0,121.0,-0.021833400102048373,120.0,Poland
PRT,62,0.973,0.9696353945592535,0.9631103821532,56.0,69.0,-0.006525012406053521,13.0,Portugal
QAT,143,0.947,0.9469683088437031,0.9650139858834357,143.0,54.0,0.01804567703973259,-89.0,Qatar
ROU,1,0.98,0.9753021659881411,0.9533189954794679,1.0,123.0,-0.021983170508673266,122.0,Romania
RWA,55,0.974,0.9704449333348089,0.9640808589157306,54.0,62.0,-0.006364074419078269,8.0,Rwanda
SAU,114,0.964,0.9615400068036997,0.9686394531998795,113.0,25.0,0.007099446396179876,-88.0,Saudi Arabia
SEN,96,0.967,0.9642384693888844,0.9693712908783773,94.0,17.0,0.0051328214894929,-77.0,Senegal
SRB,79,0.969,0.964952934695549,0.954077145601377,89.0,118.0,-0.010875789094171973,29.0,Serbia
SLE,103,0.966,0.9631590843548106,0.9708495635397807,102.0,4.0,0.007690479184970123,-98.0,Sierra Leone
SGP,65,0.971,0.9677464707496244,0.9640900471727496,64.0,61.0,-0.00365642357687479,-3.0,Singapore
SVK,1,0.98,0.9753021659881411,0.9571635537089862,1.0,110.0,-0.01813861227915492,109.0,Slovakia
SVN,60,0.973,0.9689529346955488,0.9575125567033274,62.0,109.0,-0.011440377992221418,47.0,Slovenia
ZAF,29,0.979,0.9744926272125858,0.9580540689173477,30.0,103.0,-0.016438558295238104,73.0,South Africa
