IndicatorCode,IndicatorName,Country,CountryCode,Year,Sex,DeathRate,DeathRate_Low,DeathRate_High,Comments,DataSource
SA_0000001444,,LTU,COUNTRY,2004,SEX_MLE,349.7,,,,
SA_0000001444,,LUX,COUNTRY,2004,SEX_BTSX,65.7,,,,
SA_0000001444,,LUX,COUNTRY,2004,SEX_FMLE,45.6,,,,
SA_0000001444,,LUX,COUNTRY,2004,SEX_MLE,91.5,,,,
SA_0000001444,,LVA,COUNTRY,2004,SEX_BTSX,236.9,,,,
SA_0000001444,,LVA,COUNTRY,2004,SEX_FMLE,173.6,,,,
SA_0000001444,,LVA,COUNTRY,2004,SEX_MLE,333.8,,,,
SA_0000001444,,MAR,COUNTRY,2004,SEX_BTSX,192.8,,,,
SA_0000001444,,MAR,COUNTRY,2004,SEX_FMLE,161.7,,,,
SA_0000001444,,MAR,COUNTRY,2004,SEX_MLE,226.9,,,,
SA_0000001444,,MCO,COUNTRY,2004,SEX_BTSX,37.5,,,,
SA_0000001444,,MCO,COUNTRY,2004,SEX_FMLE,22.4,,,,
SA_0000001444,,MCO,COUNTRY,2004,SEX_MLE,57.1,,,,
SA_0000001444,,MDA,COUNTRY,2004,SEX_BTSX,427.7,,,,
SA_0000001444,,MDA,COUNTRY,2004,SEX_FMLE,378.9,,,,
SA_0000001444,,MDA,COUNTRY,2004,SEX_MLE,500.1,,,,
SA_0000001444,,MDG,COUNTRY,2004,SEX_BTSX,109.6,,,,
SA_0000001444,,MDG,COUNTRY,2004,SEX_FMLE,90.3,,,,
SA_0000001444,,MDG,COUNTRY,2004,SEX_MLE,131.9,,,,
SA_0000001444,,MDV,COUNTRY,2004,SEX_BTSX,66.2,,,,
SA_0000001444,,MDV,COUNTRY,2004,SEX_FMLE,68.6,,,,
SA_0000001444,,MDV,COUNTRY,2004,SEX_MLE,63.6,,,,
SA_0000001444,,MEX,COUNTRY,2004,SEX_BTSX,94.3,,,,
SA_0000001444,,MEX,COUNTRY,2004,SEX_FMLE,78.5,,,,
SA_0000001444,,MEX,COUNTRY,2004,SEX_MLE,112.6,,,,
SA_0000001444,,MHL,COUNTRY,2004,SEX_BTSX,157.2,,,,
SA_0000001444,,MHL,COUNTRY,2004,SEX_FMLE,85.2,,,,
SA_0000001444,,MHL,COUNTRY,2004,SEX_MLE,233.0,,,,
SA_0000001444,,MKD,COUNTRY,2004,SEX_BTSX,107.9,,,,
SA_0000001444,,MKD,COUNTRY,2004,SEX_FMLE,73.5,,,,
SA_0000001444,,MKD,COUNTRY,2004,SEX_MLE,147.3,,,,
SA_0000001444,,MLI,COUNTRY,2004,SEX_BTSX,131.5,,,,
SA_0000001444,,MLI,COUNTRY,2004,SEX_FMLE,108.1,,,,
SA_0000001444,,MLI,COUNTRY,2004,SEX_MLE,162.1,,,,
